Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Sale_Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Mileage_To_Engine_Ratio
1.0,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000.0,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5,1.0,0.0,0.0,0.0,1.0,0.012433628318584073
2.0,Honda Jazz V,Chennai,2011,46000.0,Petrol,Manual,First,17.57,1199.0,88.7,5.0,4.5,0.0,0.0,1.0,0.0,1.0,0.014653878231859884
3.0,Maruti Ertiga VDI,Chennai,2012,87000.0,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0,1.0,0.0,0.0,0.0,1.0,0.016642628205128206
4.0,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670.0,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74,1.0,0.0,0.0,1.0,0.0,0.007723577235772357
6.0,Nissan Micra Diesel XV,Jaipur,2013,86999.0,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5,1.0,0.0,0.0,0.0,1.0,0.015797399041752223
7.0,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000.0,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5,1.0,0.0,0.0,1.0,0.0,0.004123411978221416
8.0,Volkswagen Vento Diesel Comfortline,Pune,2013,64430.0,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2,1.0,0.0,0.0,0.0,1.0,0.012853566958698373
9.0,Tata Indica Vista Quadrajet LS,Chennai,2012,65932.0,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95,1.0,0.0,0.0,0.0,1.0,0.017868589743589743
10.0,Maruti Ciaz Zeta,Kochi,2018,25692.0,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95,0.0,0.0,1.0,0.0,1.0,0.014746922024623802
11.0,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000.0,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49,0.0,0.0,1.0,1.0,0.0,0.011222444889779559
12.0,Maruti Swift VDI BSIV,Jaipur,2015,64424.0,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6,1.0,0.0,0.0,0.0,1.0,0.020192307692307693
13.0,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000.0,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0,1.0,0.0,0.0,1.0,0.0,0.005828361633776961
14.0,Land Rover Freelander 2 TD4 SE,Pune,2012,85000.0,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,17.5,1.0,0.0,0.0,1.0,0.0,0.0
15.0,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000.0,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0,1.0,0.0,0.0,0.0,1.0,0.005450141299959629
16.0,Honda Amaze S i-Dtech,Kochi,2016,58950.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4,1.0,0.0,0.0,0.0,1.0,0.017222963951935916
17.0,Maruti Swift DDiS VDI,Jaipur,2017,25000.0,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99,1.0,0.0,0.0,0.0,1.0,0.022756410256410255
18.0,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469.0,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34,1.0,0.0,0.0,0.0,1.0,0.013997262149212868
19.0,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500.0,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0,1.0,0.0,0.0,1.0,0.0,0.006924871675221652
20.0,BMW 3 Series 320d,Kochi,2014,32982.0,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55,1.0,0.0,0.0,1.0,0.0,0.0113734335839599
21.0,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392.0,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25,1.0,0.0,0.0,0.0,1.0,0.01895032051282051
22.0,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985.0,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5,0.0,0.0,1.0,1.0,0.0,0.0068195564516129025
23.0,Hyundai i20 1.2 Magna,Kolkata,2010,45807.0,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87,0.0,0.0,1.0,0.0,1.0,0.015455304928989139
24.0,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000.0,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85,0.0,0.0,1.0,1.0,0.0,0.009011264080100126
25.0,Honda City Corporate Edition,Mumbai,2012,51920.0,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25,0.0,0.0,1.0,0.0,1.0,0.011222444889779559
26.0,Nissan Micra Diesel XV,Hyderabad,2012,54000.0,Diesel,Manual,First,22.27,1461.0,63.1,5.0,4.25,1.0,0.0,0.0,0.0,1.0,0.015242984257357975
27.0,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000.0,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75,0.0,0.0,1.0,0.0,1.0,0.020961923847695393
28.0,Honda WRV i-VTEC VX,Kochi,2018,37430.0,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9,0.0,0.0,1.0,0.0,1.0,0.014595496246872394
